pelicula;date;duracio;director;genre;autor;medi;tendencia;actors
A Ciambra;2017;113 min.;Jonas Carpignano;Drama;Brian Tallerico; rogerebert.com ;positiva;Pio Amato,Koudous Seihon,Damiano Amato,Iolanda Amato,Patrizia Amato,Susanna Amato,Francesco Pio Amato,Rocco Amato
A Ciambra;2017;113 min.;Jonas Carpignano;Drama;Gaspar Zimerman; Diario Clarín ;positiva;Pio Amato,Koudous Seihon,Damiano Amato,Iolanda Amato,Patrizia Amato,Susanna Amato,Francesco Pio Amato,Rocco Amato
A Ciambra;2017;113 min.;Jonas Carpignano;Drama;Paula Vázquez Prieto; Diario La Nación ;positiva;Pio Amato,Koudous Seihon,Damiano Amato,Iolanda Amato,Patrizia Amato,Susanna Amato,Francesco Pio Amato,Rocco Amato
A Ciambra;2017;113 min.;Jonas Carpignano;Drama;Diego Brodersen; Diario Página 12 ;positiva;Pio Amato,Koudous Seihon,Damiano Amato,Iolanda Amato,Patrizia Amato,Susanna Amato,Francesco Pio Amato,Rocco Amato
A cidade onde envelheço;2016;80 min.;Marília Rocha;Drama;Guilherme de Alencar Pinto; Diario La Diaria ;neutral;Elizabete Francisca,Francisca Manuel,Paulo Nazareth,Jonnata Doll,Wederson dos Santos
A ciegas ;2006;104 min.;Lucy Walker;Documental;FILMAFFINITY ;unknow;unknow;Documentary
A ciegas ;2006;104 min.;Lucy Walker;Documental;Antonio Weinrichter; Diario ABC ;negativa;Documentary
A ciegas ;2006;104 min.;Lucy Walker;Documental;Jeannette Catsoulis; The New York Times ;positiva;Documentary
A ciegas;2008;118 min.;Fernando Meirelles;Drama;Carlos Boyero; Diario El País ;positiva;Julianne Moore,Mark Ruffalo,Danny Glover,Alice Braga,Gael García Bernal,Yusuke Iseya,Sandra Oh,Yoshino Kimura,Scott Anderson,Isai Rivera Blas
A ciegas;2008;118 min.;Fernando Meirelles;Drama;Oti Rodríguez Marchante; Diario ABC ;positiva;Julianne Moore,Mark Ruffalo,Danny Glover,Alice Braga,Gael García Bernal,Yusuke Iseya,Sandra Oh,Yoshino Kimura,Scott Anderson,Isai Rivera Blas
A ciegas;2008;118 min.;Fernando Meirelles;Drama;Lluís Bonet Mojica; Diario La Vanguardia ;neutral;Julianne Moore,Mark Ruffalo,Danny Glover,Alice Braga,Gael García Bernal,Yusuke Iseya,Sandra Oh,Yoshino Kimura,Scott Anderson,Isai Rivera Blas
A ciegas;2008;118 min.;Fernando Meirelles;Drama;Luis Martínez; Diario El Mundo ;negativa;Julianne Moore,Mark Ruffalo,Danny Glover,Alice Braga,Gael García Bernal,Yusuke Iseya,Sandra Oh,Yoshino Kimura,Scott Anderson,Isai Rivera Blas
A ciegas;2008;118 min.;Fernando Meirelles;Drama;Jordi Costa; Diario El País ;positiva;Julianne Moore,Mark Ruffalo,Danny Glover,Alice Braga,Gael García Bernal,Yusuke Iseya,Sandra Oh,Yoshino Kimura,Scott Anderson,Isai Rivera Blas
A ciegas;2008;118 min.;Fernando Meirelles;Drama;Claudia Puig; USA Today ;neutral;Julianne Moore,Mark Ruffalo,Danny Glover,Alice Braga,Gael García Bernal,Yusuke Iseya,Sandra Oh,Yoshino Kimura,Scott Anderson,Isai Rivera Blas
A ciegas;2008;118 min.;Fernando Meirelles;Drama;Roger Ebert; Chicago Sun-Times ;negativa;Julianne Moore,Mark Ruffalo,Danny Glover,Alice Braga,Gael García Bernal,Yusuke Iseya,Sandra Oh,Yoshino Kimura,Scott Anderson,Isai Rivera Blas
